name           ,avg_clustering      ,total_degree        ,clique_number       ,avg_position_x      ,avg_position_y
avg_clustering ,0.0                 ,0.2964829192866247  ,0.21908448433203084 ,0.20821186193952945 ,0.21197223369834506
total_degree   ,0.2964829192866247  ,0.0                 ,0.21178583909775855 ,0.2586935051760643  ,0.28326004827110784
clique_number  ,0.21908448433203084 ,0.21178583909775855 ,0.0                 ,0.15332970562838666 ,0.1688473489228601
avg_position_x ,0.20821186193952945 ,0.2586935051760643  ,0.15332970562838666 ,nan                 ,0.09891295562898732
avg_position_y ,0.21197223369834506 ,0.28326004827110784 ,0.1688473489228601  ,0.09891295562898732 ,0.0
